COL 1: TARGET
COL 2: RESPONSE
COL 3: REACTION TIME (SECONDS)

----------BLOCK 1----------
4	1	165.69
3	1	1.15
1	1	0.76
4	2	3.73
2	2	0.84
1	1	27.29
3	1	0.19
4	1	0.64
1	1	0.00
2	1	0.00
4	1	0.01
3	1	0.02
1	1	0.00
4	1	0.00
2	1	0.00
1	1	0.01
3	1	0.00
4	1	0.01
1	1	0.00
2	1	0.00
4	1	0.00
3	1	0.01
1	1	0.00
4	1	0.02
2	1	0.01
1	1	0.01
3	1	0.00
4	1	0.01
1	1	0.01
2	1	0.00
4	1	0.01
3	1	0.00
1	1	0.01
4	1	0.01
2	1	0.02
1	1	0.00
3	1	0.00
4	1	0.00
1	1	0.01
2	1	0.01
4	1	0.03
3	1	0.01
1	1	0.02
4	1	0.03
2	1	0.00
1	1	0.00
3	1	0.00
4	1	0.00
1	1	0.01
2	1	0.00
4	1	0.00
3	1	0.00
1	1	0.01
4	1	0.01
2	1	0.00
1	1	0.00
3	1	0.01
4	1	0.02
1	1	0.01
2	1	0.01
4	1	0.01
3	1	0.03
1	1	0.00
4	1	0.01
2	1	0.01
1	1	0.00
3	1	0.01
4	1	0.00
1	1	0.00
2	1	0.00
4	1	0.00
3	1	0.01
1	1	0.00
4	1	0.01
2	1	0.01
1	1	0.01
3	1	0.00
4	1	0.00
1	1	0.00
2	1	0.00
4	1	0.01
3	1	0.01
1	1	0.00
4	1	0.00
2	1	0.01
1	1	0.02
3	1	0.00
4	1	0.00
1	1	0.00
2	1	0.01
4	1	0.02
3	1	0.00
1	1	0.02
4	1	0.03
2	1	0.01
1	1	0.03
3	1	0.00
4	1	0.00
1	1	0.01
2	1	0.01
4	1	0.01
3	1	0.00
1	1	0.00
4	1	0.00
2	1	0.00
1	1	0.02
3	1	0.01
4	1	0.01
1	1	0.00
2	1	0.01
4	1	0.00
3	1	0.00
1	1	0.00
4	1	0.00
2	1	0.00
1	1	0.00
3	1	0.02
4	1	0.01
1	1	0.02
2	2	2.01

----------BLOCK 2----------
4	3	0.48
3	3	0.10
1	3	0.12
4	3	0.11
2	3	0.11
